,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus
259,Leucotaphus donisthorpei,33.9,38.,Formicinae,,Leucotaphus
260,Leucotaphus gurnetensis,33.9,38.,Formicinae,,Leucotaphus
261,Liometopum,11.608,12.7,Dolichoderinae,Tapinomini,
262,Liometopum bogdassarovi,33.9,38.,Dolichoderinae,,Liometopum
263,Liometopum eremicum,15.97,20.44,Dolichoderinae,,Liometopum
264,Liometopum imhoffii,11.608,12.7,Dolichoderinae,,Liometopum
265,Liometopum incognitum,33.9,38.,Dolichoderinae,Tapinomini,Liometopum
266,Liometopum lubricum,15.97,20.44,Dolichoderinae,,Liometopum
267,Liometopum miocenicum,33.9,37.2,Dolichoderinae,,Liometopum
268,Liometopum potamophilum,15.97,20.44,Dolichoderinae,,Liometopum
269,Liometopum scudderi,33.9,37.2,Dolichoderinae,,Liometopum
270,Lioponera suscitata,0.,0.0117,Dorylinae,,Lioponera
271,Lonchomyrmex freyeri,11.608,12.7,Myrmicinae,Crematogastrini,Lonchomyrmex
272,Lonchomyrmex nigritus,5.333,11.608,Myrmicinae,Crematogastrini,Lonchomyrmex
273,Macabeemyrma ovata,47.8,56.,Myrmeciinae,,Macabeemyrma
274,Melissotarsus ethiopiensis,15.97,23.03,Myrmicinae,Crematogastrini,Melissotarsus
275,Messelepone leptogenoides,40.4,48.6,Ponerinae,,Messelepone
276,Messor,5.333,7.246,Myrmicinae,Stenammini,
277,Messor sculpturatus,33.9,37.2,Myrmicinae,Stenammini,Messor
278,Mianeuretus eocenicus,46.2,50.3,Aneuretinae,,Mianeuretus
279,Mianeuretus mirabilis,33.9,37.2,Aneuretinae,,Mianeuretus
280,Miomyrmex impactus,33.9,37.2,Dolichoderinae,,Miomyrmex
281,Miomyrmex striatus,33.9,37.2,Dolichoderinae,,Miomyrmex
282,Miosolenopsis fossilis,15.97,20.44,Myrmicinae,,Miosolenopsis
283,Myanmyrma gracilis,93.5,99.6,,,Myanmyrma
284,Myopopone sinensis,15.97,20.44,Amblyoponinae,,Myopopone
285,Myrmeciites,47.8,56.,Myrmeciinae,,
286,Myrmeciites goliath,47.8,56.,Myrmeciinae,Collective group name (page does not exist),Myrmeciites
287,Myrmeciites herculeanus,47.8,56.,Myrmeciinae,Collective group name (page does not exist),Myrmeciites
288,Myrmeciites tabanifluviensis,47.8,56.,Myrmeciinae,Collective group name (page does not exist),Myrmeciites
289,Myrmecites dubius,33.9,38.,Myrmicinae,,Myrmecites
290,Myrmecites latus,11.608,12.7,Myrmicinae,,Myrmecites
291,Myrmecites major,33.9,38.,Myrmicinae,,Myrmecites
292,Myrmecites pusillus,11.608,12.7,Myrmicinae,,Myrmecites
293,Myrmecites rotundiceps,46.2,50.3,Myrmicinae,,Myrmecites
294,Myrmecites sibiricus,33.9,38.,Myrmicinae,,Myrmecites
295,Myrmecorhynchus novaeseelandiae,20.44,23.03,Formicinae,Melophorini,Myrmecorhynchus
296,Myrmica,11.608 12.7   46.2   23.03  15.97 ,12.7  13.65 50.3  28.4  16.9 ,Myrmicinae,Myrmicini,
297,Myrmica eocenica,33.9,38.,Myrmicinae,Myrmicini,Myrmica
298,Myrmica paradoxa,33.9,38.,Myrmicinae,Myrmicini,Myrmica
299,Myrmicinae, 5.333 23.03  20.44 , 7.246 33.9   23.03 ,,,
300,Myrmicites,28.4,33.9,,,
301,Nesomyrmex caritatis,13.82,20.44,Myrmicinae,Crematogastrini,Nesomyrmex
302,Nesomyrmex dominicanus,13.82,20.44,Myrmicinae,Crematogastrini,Nesomyrmex
303,Odontomachus paleomyagra,16.9,20.,Ponerinae,Ponerini,Odontomachus
304,Odontomachus pseudobauri,13.82,20.44,Ponerinae,Ponerini,Odontomachus
305,Odontomachus spinifer,13.82,20.44,Ponerinae,Ponerini,Odontomachus
306,Oecophylla atavina,33.9,38.,Formicinae,Oecophyllini,Oecophylla
307,Oecophylla bartoniana,41.3,47.8,Formicinae,Oecophyllini,Oecophylla
308,Oecophylla eckfeldiana,40.4,48.6,Formicinae,Oecophyllini,Oecophylla
309,Oecophylla grandimandibula,5.333,8.7,Formicinae,Oecophyllini,Oecophylla
310,Oecophylla longiceps,40.4,48.6,Formicinae,Oecophyllini,Oecophylla
311,Oecophylla megarche,33.9,38.,Formicinae,Oecophyllini,Oecophylla
312,Oecophylla obesa,11.608 28.4   33.9  ,12.7 33.9 37.2,Formicinae,Oecophyllini,Oecophylla
313,Oecophylla praeclara,28.4,33.9,Formicinae,Oecophyllini,Oecophylla
314,Oecophylla sicula,5.333,11.608,Formicinae,Oecophyllini,Oecophylla
315,Pachycondyla aberrans,33.9,38.,Ponerinae,,Pachycondyla
316,Pachycondyla eocenica,40.4,48.6,Ponerinae,,Pachycondyla
317,Pachycondyla lutzi,40.4,48.6,Ponerinae,,Pachycondyla
318,Pachycondyla messeliana,40.4,48.6,Ponerinae,,Pachycondyla
319,Pachycondyla minutansata,15.97,20.44,Ponerinae,Ponerini,Pachycondyla
320,Pachycondyla nubeculata,15.97,20.44,Ponerinae,Ponerini,Pachycondyla
