Specimen,subfamily,Tribe,Genus
Pachycondyla_aberrans,Ponerinae,,Pachycondyla
Pachycondyla_eocenica,Ponerinae,,Pachycondyla
Pachycondyla_lutzi,Ponerinae,,Pachycondyla
Pachycondyla_messeliana,Ponerinae,,Pachycondyla
Pachycondyla_minutansata,Ponerinae,Ponerini,Pachycondyla
Pachycondyla_nubeculata,Ponerinae,Ponerini,Pachycondyla
Pachycondyla_oligocenica,Ponerinae,,Pachycondyla
Pachycondyla_parvula,Ponerinae,,Pachycondyla
Pachycondyla_petiolosa,Ponerinae,,Pachycondyla
Pachycondyla_petrosa,Ponerinae,,Pachycondyla
Paraphaenogaster_hooleyana,Myrmicinae,Stenammini,Paraphaenogaster
Paraphaenogaster_jurinei,Myrmicinae,Stenammini,Paraphaenogaster
Paraphaenogaster_tertiaria,Myrmicinae,Stenammini,Paraphaenogaster
Paraponera_dieteri,Paraponerinae,,Paraponera
Parasyscia_conservata,Dorylinae,,Parasyscia
Petraeomyrmex_minimus,Dolichoderinae,,Petraeomyrmex
Pheidole_primigenia,Myrmicinae,Attini,Pheidole
Pheidole_rasnitsyni,Myrmicinae,Attini,Pheidole
Pheidole_tertiaria,Myrmicinae,Attini,Pheidole
Plagiolepis_labilis,Formicinae,Plagiolepidini,Plagiolepis
Platythyrea_dlusskyi,Ponerinae,Platythyreini,Platythyrea
Platythyrea_pumilio,Ponerinae,Platythyreini,Platythyrea
Plesiomyrmex_tubulatus,Myrmicinae,Myrmicini,Plesiomyrmex
Podomyrma_mayri,Myrmicinae,Crematogastrini,Podomyrma
Pogonomyrmex_fossilis,Myrmicinae,Pogonomyrmecini,Pogonomyrmex
Polyrhachis_cincta,Formicinae,Camponotini,Polyrhachis
Polyrhachis_circumdata,Formicinae,Camponotini,Polyrhachis
Polyrhachis_continua,Formicinae,Camponotini,Polyrhachis
Polyrhachis_decipiens,Formicinae,Camponotini,Polyrhachis
Polyrhachis_excitata,Formicinae,Camponotini,Polyrhachis
Polyrhachis_subfossa,Formicinae,Camponotini,Polyrhachis
Ponera_elegantissima,Ponerinae,Ponerini,Ponera
Ponera_leptocephala,Ponerinae,Ponerini,Ponera
Ponerinae,,,
Ponerites_atavinus,Ponerinae,Ponerini,Ponerites
Ponerites_coloradensis,Ponerinae,Ponerini,Ponerites
